sample,genotype
CD0272d,wild.type
CD0273a,wild.type
CD0273c,wild.type
CD0273d,wild.type
CD0274a,wild.type
CD0274c,wild.type
CD0274d,wild.type
CD0275a,wild.type
CD0275c,wild.type
CD0276a,wild.type
CD0276c,wild.type
CD0276d,wild.type
CD0277a,wild.type
CD0278a,wild.type
CD0278c,wild.type
CD0279a,wild.type
CD0279c,wild.type
CD0279d,wild.type
CD0280d,wild.type
CD0281a,wild.type
CD0282a,wild.type
CD0282c,wild.type
CD0283a,wild.type
CD0283d,wild.type
CD0284a,wild.type
CD0284c,wild.type
CD0285a,wild.type
CD0285c,wild.type
CD0285d,wild.type
CD0286a,wild.type
CD0286c,wild.type
CD0286d,wild.type
CD0287a,wild.type
CD0287c,wild.type
CD0287d,wild.type
CD0288a,wild.type
CD0288c,wild.type
CD0288d,wild.type
CD0289a,wild.type
CD0289d,wild.type
CD0290a,wild.type
CD0290c,wild.type
CD0291a,wild.type
CD0291c,wild.type
CD0292c,wild.type
CD0293a,wild.type
CD0293c,wild.type
CD0293d,wild.type
CD0294a,wild.type
CD0294c,wild.type
CD0296a,wild.type
CD0297a,wild.type
CD0297c,wild.type
CD0297d,wild.type
CD0307a,mlh.1
CD0308a,mlh.1
CD0308c,mlh.1
CD0308d,mlh.1
CD0309a,mlh.1
CD0309c,mlh.1
CD0309d,mlh.1
CD0310a,mlh.1
CD0311a,mlh.1
CD0311c,mlh.1
CD0311d,mlh.1
CD0312a,mlh.1
CD0312c,mlh.1
CD0312d,mlh.1
CD0313a,mlh.1
CD0313c,mlh.1
CD0313d,mlh.1
CD0314a,mlh.1
CD0314c,mlh.1
CD0315a,mlh.1
CD0315c,mlh.1
CD0316c,mlh.1
CD0316d,mlh.1
CD0317a,mlh.1
CD0317c,mlh.1
CD0317d,mlh.1
CD0318a,mlh.1
CD0318c,mlh.1
CD0318d,mlh.1
CD0319a,mlh.1
CD0320a,mlh.1
CD0320c,mlh.1
CD0320d,mlh.1
CD0321a,mlh.1
CD0321d,mlh.1
CD0322a,mlh.1
CD0323a,mlh.1
CD0323c,mlh.1
CD0324a,mlh.1
CD0324c,mlh.1
CD0325c,mlh.1
CD0326a,mlh.1
CD0326c,mlh.1
CD0326d,mlh.1
CD0327a,mlh.1
CD0327d,mlh.1
CD0328a,mlh.1
CD0328c,mlh.1
CD0328d,mlh.1
CD0329a,mlh.1
CD0329c,mlh.1
CD0329d,mlh.1
CD0332a,mlh.1
CD0332c,mlh.1
CD0332d,mlh.1
CD0333a,mlh.1
CD0333c,mlh.1
CD0334a,mlh.1
CD0334d,mlh.1
CD0337d,mlh.1
CD0338a,mlh.1
CD0338c,mlh.1
CD0338d,mlh.1
CD0339a,mlh.1
CD0339c,mlh.1
CD0339d,mlh.1
CD0340a,mlh.1
CD0340d,mlh.1
CD0341a,mlh.1
CD0341c,mlh.1
CD0341d,mlh.1
CD0342a,mlh.1
CD0342c,mlh.1
CD0342d,mlh.1
CD0343a,mlh.1
CD0343c,mlh.1
CD0343d,mlh.1
CD0344d,mlh.1
CD0345a,mlh.1
CD0345c,mlh.1
CD0345d,mlh.1
CD0349a,mlh.1
CD0350a,mlh.1
CD0350c,mlh.1
CD0351a,mlh.1
CD0351c,mlh.1
CD0352a,mlh.1
CD0353a,mlh.1
CD0353c,mlh.1
CD0353d,mlh.1
CD0354a,mlh.1
CD0354c,mlh.1
CD0355c,mlh.1
CD0355d,mlh.1
CD0356a,mlh.1
CD0357a,mlh.1
CD0357c,mlh.1
CD0357d,mlh.1
CD0358d,mlh.1
